pod_name,node_name,node_group,namespace,owner_kind,owner_name,req_cpu_milli_core,req_mem_byte,limit_cpu_mili_core,limit_mem_bytes
d3cf3dcd812cc3bb9e6ea9f7ba7123d0,ip-172-29-43-114.ec2.internal,0,monitoring,DaemonSet,1b8f17886efd6187794d337db78af4f0,0,0,0,0
bf054e4208837cf354069ce48428178d,ip-172-29-34-118.ec2.internal,1,kube-system,DaemonSet,ea11065c99d9485fc7fe03aa1b668c20,0,0,0,0
c8932980a2096e70698de41d65d0b837,ip-172-29-32-119.ec2.internal,1,kube-system,DaemonSet,f4928ee7ea1ab0b3ae6cae5224c5cc14,250,0,0,0
741320a87869de9b8b8eedac62f75961,ip-172-29-35-252.ec2.internal,1,staging,ReplicaSet,290c5a0d82f3541398d74ea3d94c288a,50,1572864000,0,0
9cf0b0548981ab93a8b95da4c9a25dd1,ip-172-29-34-155.ec2.internal,1,kube-system,DaemonSet,ea11065c99d9485fc7fe03aa1b668c20,0,0,0,0
0537b223c65bf8eab62a78f30932d7ec,ip-172-29-34-201.ec2.internal,1,staging,ReplicaSet,7acb8f6de36bbaf14b0eade0e7e789ca,700,4194304000,0,0
8597081b88fc3061a575cd30be57823c,ip-172-29-33-153.ec2.internal,1,monitoring,DaemonSet,bdb7d6c8c035870574be8cbb114c876c,20,67108864,100,134217728
eee85bbff106288868ec73315f4a9b18,ip-172-29-32-232.ec2.internal,1,monitoring,DaemonSet,86cd8075b192703711163a58803ee2f7,0,0,0,0
b4176a000b74f5e8dbc2ccd5b434980b,ip-172-29-32-232.ec2.internal,1,monitoring,DaemonSet,1ac15354847d26be4cfecfb4de789729,0,0,0,0
ef7f29863acddd425437abec0d80b5ba,ip-172-29-34-119.ec2.internal,1,monitoring,DaemonSet,1b8f17886efd6187794d337db78af4f0,0,0,0,0
1f74fe8ded7f8f1572b6b6e79bb15f7c,ip-172-29-33-50.ec2.internal,1,gaia-full-test-set8-k8s-40,ReplicaSet,e8991674ee3737425ff00d3710f6cb58,25,134217728,0,0
68c504d10651152e5bb332a8bb4c5e12,ip-172-29-32-147.ec2.internal,1,kube-system,DaemonSet,f4928ee7ea1ab0b3ae6cae5224c5cc14,250,0,0,0
f4a584b3505213cadf14b37ed630c8ab,ip-172-29-32-136.ec2.internal,1,staging,ReplicaSet,a8a7b506ad5846a2f86916c0100a8643,50,2147483648,0,0
ed3f5f71b16917aec3d78a03e3ed7c47,ip-172-29-34-67.ec2.internal,1,monitoring,DaemonSet,bdb7d6c8c035870574be8cbb114c876c,20,67108864,100,134217728
35b837b7d3e1cae21af13b8c58025861,ip-172-29-34-225.ec2.internal,1,monitoring,DaemonSet,86cd8075b192703711163a58803ee2f7,0,0,0,0
b6bc360e51140dc50152778691d0fda1,ip-172-29-35-83.ec2.internal,1,monitoring,DaemonSet,bdb7d6c8c035870574be8cbb114c876c,20,67108864,100,134217728
4e44687228ce11129e440b18f462dc80,ip-172-29-35-241.ec2.internal,1,monitoring,DaemonSet,86cd8075b192703711163a58803ee2f7,0,0,0,0
35261f24512eee279865df5050ee7d23,ip-172-29-32-189.ec2.internal,1,staging,ReplicaSet,50b9859864a518c2cea11767f1c9f88f,20,3221225472,0,0
42293bd7bcfdd7eb83d72ccce3a3b169,ip-172-29-32-56.ec2.internal,1,staging,ReplicaSet,7acb8f6de36bbaf14b0eade0e7e789ca,700,4194304000,0,0
fcc8baf0f48635eec5fe19c8fbcc7c30,ip-172-29-32-152.ec2.internal,1,gaia-full-test-set9-k8s-42,ReplicaSet,861b4ceaf686087d0b613a98301f52d0,25,134217728,0,0
2507e2b068f867aff88e888c95a14418,ip-172-29-34-65.ec2.internal,1,monitoring,DaemonSet,86cd8075b192703711163a58803ee2f7,0,0,0,0
71483dcc00e90830bc2d275d77de13f1,ip-172-29-32-56.ec2.internal,1,gaia-full-test-set9-k8s-42,ReplicaSet,8f5f85a07b7c37ab617b442f6dfbfa8d,50,805306368,0,0
9fe7a50f6ebe71dc53d08a012c3154f8,ip-172-29-35-83.ec2.internal,1,kube-system,DaemonSet,f4928ee7ea1ab0b3ae6cae5224c5cc14,250,0,0,0
3698981901ee3e1f6917f848ecab5e81,ip-172-29-32-119.ec2.internal,1,monitoring,DaemonSet,bdb7d6c8c035870574be8cbb114c876c,20,67108864,100,134217728
d2dec30f9a5ebd054d5b027773fb33e9,ip-172-29-39-173.ec2.internal,2,monitoring,DaemonSet,1ac15354847d26be4cfecfb4de789729,0,0,0,0
f762020e1b64b649592e5d959ea668e2,ip-172-29-32-144.ec2.internal,1,monitoring,DaemonSet,1ac15354847d26be4cfecfb4de789729,0,0,0,0
4ee2cfc41525d26a8f848bc0f45c0bdc,ip-172-29-35-52.ec2.internal,1,staging,ReplicaSet,a59be5d77cab28a6fb7d03e98fb05590,100,536870912,0,0
6304ab4101490aabf4ee757de454a83c,ip-172-29-33-218.ec2.internal,1,staging,ReplicaSet,2922dcd32f6af7df00d9fd68d78bb087,20,6442450944,0,0
fd36f7bd5e7e30f5e36701b1f60c66e8,ip-172-29-32-70.ec2.internal,1,kube-system,DaemonSet,f4928ee7ea1ab0b3ae6cae5224c5cc14,250,0,0,0
2dc3a749e2fbe28d6849f959bdb96cd5,ip-172-29-34-17.ec2.internal,1,monitoring,DaemonSet,57eb891f0731d873968a2a4e1cda50fd,20,67108864,100,134217728
0ec114df06a7306d83ffccbfac93d06d,ip-172-29-32-79.ec2.internal,1,staging,ReplicaSet,53103db0ac826ef1d70049e06d742fa7,50,6291456000,0,0
dba3248ca3eff0a5a4eca1c6d92b6597,ip-172-29-34-201.ec2.internal,1,monitoring,DaemonSet,86cd8075b192703711163a58803ee2f7,0,0,0,0
709523eea75770f73c78df9c88ae5b73,ip-172-29-32-56.ec2.internal,1,monitoring,StatefulSet,cb049ea872b304ddd5fd40bf4312ef85,0,0,0,0
1d65f38064186b193cf8843867b18056,ip-172-29-35-206.ec2.internal,1,kube-system,DaemonSet,ea11065c99d9485fc7fe03aa1b668c20,0,0,0,0
7ba5dbb59f801933c5506c2a3a1ee6b2,ip-172-29-35-52.ec2.internal,1,monitoring,DaemonSet,57eb891f0731d873968a2a4e1cda50fd,20,67108864,100,134217728
07fbd9d3ac10e16d0e84dfc90ad1d257,ip-172-29-34-201.ec2.internal,1,kube-system,DaemonSet,f4928ee7ea1ab0b3ae6cae5224c5cc14,250,0,0,0
